Name,Cost per Unit
Potatoes,20
onion,30
tomatoes,20
bell peppers,60
spinach,20
cabbage,20
Cauliflower,30
spinach,60
green beans,80
okra,40
eggplant,20
bananas,40
apples,100
oranges,60
grapes,100
mangoes,100
papayas,20
pomegranates,90
lemons,49
eggs,100
milk,50
curd,50
paneer,200
rice,50
masoor dal,120
toor dal,90
other lentils,120
chickpeas,80
split peas,20
urad dal,100
rice flour,30
semolina,40
poha,60
chiwda,100
red chilli,100
coriander,40
cumin,100
mustard,150
wheat,80
coconut,30
tamirind,90
penne,100
sauce,80
chicken,250
ginger,100
